Neigh_num;Neighbourhood;Entire_home;Private room;Shared room;Repeated apts;Rooms;Total_airbnb;Registered;%_Registered;Total_apartments ;%touristic;Avg_Lat;Avg_Lon
0;la Guineueta;1;6;;0;6;7;1;14%;6802;0,1%;"41.4376037758647;";2.16992667541916 
1;la Clota;0;;;;0;0;0;0%;422;0,0%;"41.4281061225405;";2.15213130797796 
2;Horta;16;31;;0;31;47;6;13%;13620;0,3%;"41.4394155398512;";2.15088877822375 
3;Baró de Viver;1;3;;0;3;4;0;0%;1112;0,4%;"41.4455884646115;";2.19940438252796 
4;Can Peguera;;1;;0;1;1;0;0%;1051;0,1%;"41.4348524455628;";2.16633538183356 
5;Canyelles;1;4;;0;4;5;1;20%;2921;0,2%;"41.4447539124885;";2.16232608795402 
6;Ciutat Meridiana;;10;;0;10;10;0;0%;3866;0,3%;"41.4610146603875;";2.17532569015733 
7;Diagonal Mar i el Front Marítim del Poblenou;115;34;3;1;36;151;129;85%;6304;2,4%;"41.4068301502041;";2.21892559589558 
8;el Besòs i el Maresme;61;82;1;1;82;143;32;22%;9613;1,5%;"41.41133141431;";2.21988260419396 
9;el Bon Pastor;2;8;1;0;9;11;1;9%;5358;0,2%;"41.4334411053232;";2.20133644919897 
10;el Camp de l'Arpa del Clot;126;153;;3;150;276;269;97%;20001;1,4%;"41.4124778870221;";2.1823951717764 
11;el Clot;55;96;7;2;101;156;51;33%;12438;1,3%;"41.4078465464919;";2.18810775791544 
12;el Congrés i els Indians;16;32;;2;30;46;6;13%;7006;0,7%;"41.4242314968969;";2.18019254170197 
13;el Parc i la Llacuna del Poblenou;141;140;9;11;138;279;103;37%;7252;3,8%;"41.4012004539287;";2.18782356911023 
14;el Poblenou;247;199;;2;197;444;395;89%;16655;2,7%;"41.3967278074613;";2.20553268748111 
15;el Turó de la Peira;3;18;;0;18;21;0;0%;6969;0,3%;"41.4333700337598;";2.1678500106464 
16;la Prosperitat;7;16;1;1;16;23;4;17%;12555;0,2%;"41.441735320739;";2.1800070708353 
17;la Sagrera;25;48;;1;47;72;22;31%;13489;0,5%;"41.4251754424478;";2.19006025237759 
18;la Trinitat Nova;;7;;0;7;7;0;0%;3554;0,2%;"41.4532134100232;";2.18569387951927 
19;la Trinitat Vella;;6;;0;6;6;4;67%;4339;0,1%;"41.4511969782177;";2.1920187321803 
20;la Verneda i la Pau;8;45;1;2;44;52;9;17%;12776;0,4%;"41.4248042968339;";2.20456071200143 
21;la Vila Olímpica del Poblenou;129;58;1;1;58;187;112;60%;4653;4,0%;"41.3883295585529;";2.200306427314 
22;les Roquetes;4;11;;0;11;15;3;20%;7044;0,2%;"41.4503537347789;";2.17676462062006 
23;Navas;24;50;;3;47;71;17;24%;10270;0,7%;"41.4174266452456;";2.18504627138278 
24;Porta;8;37;;0;37;45;2;4%;11484;0,4%;"41.4358900436534;";2.17712489811669 
25;Provençals del Poblenou;36;58;;0;58;94;41;44%;9173;1,0%;"41.411524777671;";2.20204408572034 
26;Sant Andreu;32;46;;1;45;77;29;38%;28959;0,3%;"41.4380476264175;";2.19166576733061 
27;Sant Martí de Provençals;12;57;5;1;61;73;15;21%;11715;0,6%;"41.4185956524245;";2.19771865557718 
28;Torre Baró;1;5;;0;5;6;0;0%;1770;0,3%;"41.4552045308658;";2.17835740369248 
29;Vallbona;1;3;;0;3;4;0;0%;850;0,5%;"41.4623721314502;";2.18382676513325 
30;Verdun;3;11;1;1;11;14;3;21%;5984;0,2%;"41.442012960649;";2.17518341822709 
31;Vilapicina i la Torre Llobeta;9;38;1;0;39;48;9;19%;12219;0,4%;"41.4288847459553;";2.17127407576075 
32;el Raval;618;782;6;47;741;1359;178;13%;23432;5,8%;"41.3773668066956;";2.17274131939653 
33;el Barri Gòtic;499;654;6;25;635;1134;188;17%;10467;10,8%;"41.3798728958736;";2.17989516584127 
34;la Barceloneta;163;116;5;0;121;284;69;24%;9226;3,1%;"41.3774689962785;";2.1865601771946 
35;Sant Pere, Santa Caterina i la Ribera;551;498;8;12;494;1045;169;16%;14627;7,1%;"41.384873644783;";2.18590487668488 
36;el Fort Pienc;252;272;4;9;267;519;331;64%;15651;3,3%;"41.3972299344819;";2.1804224327502 
37;la Sagrada FamÃ_lia;532;406;5;13;398;930;772;83%;27520;3,4%;"41.4056898499425;";2.17791333524887 
38;la Dreta de l'Eixample;1098;515;14;22;507;1605;1449;90%;26989;5,9%;"41.394360982524;";2.16993410232901 
39;l'Antiga Esquerra de l'Eixample;513;427;21;22;426;939;709;76%;24399;3,8%;"41.3898056647932;";2.15301551400705 
40;Sant Antoni;446;470;4;13;461;907;590;65%;20271;4,5%;"41.3782077184095;";2.16116630122667 
41;el Poble Sec;554;419;16;14;421;975;542;56%;19189;5,1%;"41.3611541319798;";2.15755983953428 
42;la Marina del Prat Vermell;4;3;;0;3;7;3;43%;798;0,9%;"41.356648122899;";2.16220824930463 
43;la Marina de Port;28;71;1;2;70;98;8;8%;13154;0,7%;"41.3601447054903;";2.14497936457633 
44;la Font de la Guatlla;63;92;;3;89;152;73;48%;4996;3,0%;"41.3685927276897;";2.14532167137707 
45;Hostafrancs;127;105;4;3;106;233;179;77%;8205;2,8%;"41.3755589390893;";2.14258833715222 
46;la Bordeta;50;78;1;3;76;126;44;35%;8529;1,5%;"41.3702335894329;";2.13509449598402 
47;Sants - Badal;63;93;3;2;94;157;107;68%;11738;1,3%;"41.3740436823798;";2.12761273943442 
48;Sants;182;174;2;4;172;354;249;70%;21161;1,7%;"41.3761393427768;";2.13804349356194 
49;les Corts;88;102;5;3;104;192;210;109%;23053;0,8%;"41.3880460345926;";2.1320712006998 
50;la Maternitat i Sant Ramon;59;72;2;1;73;132;46;35%;11655;1,1%;"41.3807503186561;";2.11726301764149 
51;Pedralbes;12;22;1;1;22;34;11;32%;5957;0,6%;"41.3943017444275;";2.1087043551564 
52;Vallvidrera, el Tibidabo i les Planes;21;15;;1;14;35;3;9%;3487;1,0%;"41.4217489600404;";2.10135162488862 
53;Sarrià;21;25;1;0;26;47;28;60%;12770;0,4%;"41.4049895925152;";2.11374211982383 
54;les Tres Torres;23;7;1;0;8;31;30;97%;7034;0,4%;"41.3971564996734;";2.12943917678803 
55;Sant Gervasi - la Bonanova;37;33;;0;33;70;33;47%;12704;0,6%;"41.4121190270426;";2.12752412171952 
56;Sant Gervasi - Galvany;203;130;3;7;126;329;254;77%;25477;1,3%;"41.3994091879572;";2.14206789889088 
57;el Putxet i el Farró;142;103;3;2;104;246;153;62%;16304;1,5%;"41.4073313738052;";2.14319334879066 
58;Vallcarca i els Penitents;59;57;;1;56;115;40;35%;9027;1,3%;"41.4171694884132;";2.14272821759604 
59;el Coll;19;21;1;0;22;41;20;49%;3947;1,0%;"41.4173369287019;";2.14712152357291 
60;la Salut;51;65;7;4;68;119;38;32%;6992;1,7%;"41.413973160781;";2.15291031963139 
61;la Vila de Gràcia;635;500;15;13;502;1137;753;66%;31497;3,6%;"41.4045974036603;";2.15493543721612 
62;el Camp d'en Grassot i Gràcia Nova;156;177;1;2;176;332;229;69%;18448;1,8%;"41.407007501841;";2.16423664506983 
63;el Baix Guinardo;40;85;3;2;86;126;106;84%;12488;1,0%;"41.4139954999476;";2.16782445980009 
64;Can Baró;28;24;1;2;23;51;20;39%;4808;1,1%;"41.4176928083264;";2.16147476118911 
65;el Guinardó;66;118;1;4;115;181;70;39%;18749;1,0%;"41.4192774915632;";2.16842864829963 
66;la Font d'en Fargues;11;14;1;2;13;24;4;17%;5296;0,5%;"41.4226532663348;";2.1663938638106 
67;el Carmel;24;50;1;1;50;74;33;45%;15472;0,5%;"41.4198018702305;";2.15768058710916 
68;la Teixonera;5;14;;0;14;19;9;47%;5849;0,3%;"41.4239566795716;";2.14763036392463 
69;Sant Genís dels Agudells;10;9;;0;9;19;4;21%;3561;0,5%;"41.4287059478307;";2.13225560186222 
70;Montbau;3;7;;0;7;10;0;0%;2576;0,4%;"41.43385096791;";2.134966513629 
71;la Vall d'Hebron;2;9;;0;9;11;1;9%;3808;0,3%;"41.4303212900414;";2.14964528480153 
72; la Nova Esquerra de l'Eixample;311;435;11;19;427;738;418;57%;30174;2,4%;"41.381972867199;";2.14777279143688 